Player,Birthdate
Tona M.,19.03.1997
Bukta A.,08.12.1998
Shinikova I.,27.09.1989
Han N-L.,25.05.1988
Han S-H.,25.05.1988
Hanatani N.,19.11.1993
Wannasuk N.,02.06.1998
Harrison Ca.,02.03.1990
Kovackova A.,21.12.2001
Herazo M.,16.08.1999
Mateas M.,23.12.1999
Vogt S.,17.05.1999
Herrero Linana A.,01.12.1999
Hewitt D.,26.04.1995
Fernandez L. A.,06.09.2002
Hruncakova V.,17.03.1996
Lu J.,05.09.1988
Umarova K.,20.10.2006
Hladikova T.,14.11.2001
Hofmanova N.,05.05.1994
Holland I.,09.08.1996
Honcova M.,27.12.1994
Jang S.,17.02.1996
Nugroho P.,03.02.1997
Hosogi S.,03.05.1995
Hourigan P.M.,26.05.1998
Hrdinova E.,03.03.1992
Hsieh S.,04.01.1986
Hsu C.W.,18.01.1992
Hsu C.Y.,18.01.1992
Ignatik A.,18.05.1990
Iliev S.,29.01.1998
Imanishi M.,10.03.1998
Inoue H.,23.09.2000
Ishii S.,04.11.1993
Kondratieva M.,04.10.1986
Patterson T.,19.04.1997
Sirotkina M.,12.02.2000
Iyer T.,02.05.2002
Sonobe W.,30.07.2003
Zheng W.,02.06.2003
Jani R-L.,10.10.1991
Kang J.,20.01.1996
Krejsova P.,18.10.1997
Llagostera V.,13.05.1977
Shapatava S.,14.06.1992
Pareja J.,12.07.1999
Ji C.M.,02.09.1997
Jiang X.,22.11.1997
Jimenez Kasintseva V.,01.11.2007
Popa G.S.,13.10.1999
Jimenez V.,10.05.1997
Joao Koehler M.,01.08.1996
Jones E.,19.06.1995
Rampre P.,22.09.1987
Solovieva V.,18.05.1998
Berberovic N.,07.05.1989
Betova M.,11.05.1996
Kabbaj Y.,10.10.2001
Kalieva E.,13.02.2005
Granillo A.,29.09.2003
Pliskova Kar.,21.03.1991
Zaniewska S.,19.01.1994
Kapshay V.,29.11.1981
Marand S.,26.10.1989
Reix S.,12.01.1987
Yashina E.,02.02.1997
Seidel E.,11.11.1998
Shi H.,05.05.1997
Khazaniuk D.,12.09.1996
Huck V.,05.03.1992
Muhamed A.,27.02.1998
Zhang Yi.,27.02.1999
Chan C-W.,22.01.1982
Vogele S.,10.03.1990
Klaschka C.,03.09.1997
Melzer I.,23.05.1998
Hoch E.,05.09.1998
Koch Benvenuto K.A.,01.12.1994
Koevermans A.,27.08.1982
Kolar N.,10.12.1997
Kops-Jones R.,12.09.1982
Sun T.,26.07.1997
Korneeva A.,01.01.2008
Serban R.,28.01.1997
Kostanic T. J.,06.10.1978
Kostic N.,13.04.1994
Kostovic T.,02.04.1996
Fung S.,18.10.1996
Kotliar Y.,14.07.1998
Duerst J.,09.06.1999
Leykina P.,25.12.1999
Perez Garcia M.P.,06.05.1998
Solovyeva V.,18.05.1998
Kratzer A.,12.10.2000
Krawczyk D.,15.05.1995
Prozorova T.,01.05.2003
Lee G.,27.08.1997
Farhad K.,27.03.1999
Ku Y.,26.01.1997
Kubka M.,05.06.1998
Larriere V.,18.11.2000
Schultz McCarthy B.,27.09.1982
Kulambayeva Z.,10.04.2001
Cheapchandej P.,21.12.2000
Kuwata H.,10.06.1998
Lewis J.,28.01.1997
Thandi K.,10.05.1998
Glozman V.,14.12.2003
Lansere S.,05.02.2000
Wong C.,15.10.1996
Laskutova K.,27.09.2000
Lazaro A.,01.08.1998
Lee P.C.,03.09.1996
Lee Y.H.,27.08.1995
Lee Y-H.,27.08.1995
Leme Da Silva N.V.,08.09.1996
Lemoine Q.,05.06.1998
Plipuech P.,28.01.1993
Garcia-Vidagany B.,15.08.1990
Liebens K.,30.10.2002
Liggan K.,10.12.1996
Linetskaya E.,15.12.1984
Selekhmeteva O.,18.09.2002
Shoshyna A.,04.03.2003
Xu M.,27.02.1999
Ng K.Y.,14.07.1997
Lisicki S. ,22.09.1988
Czink M. ,19.06.1982
Rezai A. ,15.03.1987
Lisjak I.,14.11.1992
Karatancheva S.,15.05.1995
Lister C.,26.05.1984
Liu A.,31.05.1997
Nogueira A.,21.10.1996
Lodikova D.,05.09.1997
Munoz D.,08.07.2001
Suarez P.,29.11.1981
Lovric P.,11.05.1997
Lu J.J,05.09.1988
Lu Jing Jing,05.09.1988
Lu Jing-Jing,05.09.1988
Webley-Smith E.,29.07.1983
Lukacs V.,04.06.1997
Luz B.,17.04.2000
Lykina K.,17.09.1987
Zhang R.,27.02.1999
Maes C.,20.12.1997
Bacquet E.,14.09.1997
Kolesnichenko A.,14.10.1999
Marcinkevica D.,04.02.1995
Seguel D.,10.05.1995
Maristany G.,17.09.1997
Marrero M.,17.05.1998
Saigo R.,05.03.1998
Kalashnikova O.,09.08.1990
Knutson G.,10.12.2002
Martinez Cirez C.,04.05.1999
Martinez Granados C.,04.05.1999
Matoula M.,08.04.1997
Kuryanovich I.,08.03.1998
Raymond L.,11.03.1975
Rottmann N.,03.08.1999
Zabala P.,01.02.1997
Zucchini A.,12.07.1998
Spiteri D.,25.10.2000
Medina G. A.,31.07.1977
Mediorreal A.V.,02.09.1996
Melander H.,15.05.1999
Melichar N.,07.07.1993
Mendez S.,28.03.1998
Ahn A.,21.03.1992
Tinjic J.,30.10.2002
Mijacika A.,09.10.1987
Mikadze T.,31.07.1998
Milevskaya K.,17.10.2004
Falei A.,03.03.2007
Minor B.,12.05.2000
Mircic T.,20.02.1998
Voegele,10.03.1990
Mishina D.,03.10.2001
Park S.,20.07.1997
Radisic N.,21.10.1995
Molinero F.,12.09.2000
Monroy Y.,25.08.1998
Silva E.,14.11.1998
Morderger Y.,21.06.1997
Mueller A.,07.03.1996
Nunez Fuentes V.,11.12.2002
Smashnova-Pistolesi A.,12.02.1975
Myskina A.,08.07.1981
Naito Y.,24.01.1993
Yonemura T.,28.03.1998
Neuwirth Y.,20.09.2001
Nuudi M.,22.11.1997
Ogorodova A.,15.02.1999
Okamura K.,25.11.1997
Okuno A.,01.04.2000
Kapros A.,10.08.1981
Olaru R.,04.04.1986
Wu H.C.,05.03.1997
Osaka M.,16.10.1997
Arseneault A.,20.10.2001
Guarachi A.,09.04.1990
Higuita Barraza M.,05.04.2001
Osorio Serrano M.C.,11.04.2002
Jeong B.,07.04.1999
Barros V.L.,15.05.1996
Ozegovic N.,18.03.1998
Paoletti M.,20.03.2003
Sakatsume H.,29.08.2002
Papadakis L.,28.10.2001
Sanchez Uribe M.J.,19.04.1998
Abramovic I.,22.10.1986
Salerni M.,09.04.1982
Rapolu M.,24.04.2006
Wuerth T.,17.11.2001
Zantedeschi A.,01.03.2002
Pavlyuchen. A.,21.03.1991
Crawley F.,23.03.2000
Pedone G.,16.10.2003
Knoll X.,26.02.2004
Kremen I.,31.07.1997
Schiechtl T.,18.06.2000
Peer S. ,08.02.1988
Njiric S.,12.07.1998
Ruse E-G.,08.11.1999
Zuger J.,16.10.1977
Pervushina O.,14.11.1990
Mokh M.,10.05.2003
Piedade F.,26.07.2000
Pieri J.,26.09.1996
Pieri T.,26.09.1996
Samudio A.,23.04.1999
Pliskova K.,21.03.1991
Pochabova M.,19.09.1995
Ren Y.,06.01.1999
Pous-T L.,05.06.1984
Zhang L.,27.02.1999
Barbat K.,22.07.1997
Fridman O.,23.03.1996
Naklo T.,07.07.2007
Radanovic D.,09.12.1997
RaducГ nu E.,13.11.2002
Lyubtsova O.,10.09.1997
Rajecki A.,09.02.2002
Castiblanco K.,24.09.2004
Reyngold E.,13.07.1999
Martinez-Sanchez M.J. ,12.11.1977
Altick F.,10.08.1998
Robbe A.,11.01.2002
Korashvili O.,15.02.1999
Tangphong M.,15.10.1997
Ramialison I.,20.06.2003
Essaadi L.,10.05.2001
Okalova M.,15.01.1998
Rodriguez V.,04.08.1998
Roesch A.,01.08.1999
Rosca A.,27.12.1999
Routliffe E.,13.02.1995
Rouvroy M.,06.07.2001
Duque M. M.,18.01.1986
Torro-Flor M.T.,09.02.1989
Van den Broek I.L.,08.04.1999
Soylu I.,22.08.1997
Saidkhodjaeva D.,06.01.2004
Samson L.,15.03.1998
Wurth T.,17.11.2001
Sun S.N.,26.07.1999
Guskova N.,06.06.1997
Savranska Y.,06.08.1988
Scandalis Z.G.,16.03.2000
Perez A.,24.06.1998
Takao E.,27.11.2000
Schmiedlova K.,12.10.1994
Schuurs D.,12.08.1994
Senoglu I.,15.07.1997
Candela E.C.,14.12.1993
Shimizu A.,20.07.2000
Sobolieva A.,05.10.2002
Shulaeva E.,06.03.1998
Uberoi S.,23.12.1996
Silva C.,14.11.1998
Simmonds C.,30.09.1997
Soboleva A.,05.10.2002
Soler Espinosa S..,22.09.1991
Noel A.,08.04.2000
Topalova G.,24.05.2003
Fitzpatrick A.,25.05.2000
Stanciute L.,12.10.1995
Starr E.,23.09.1998
Vicens Mas R.,10.08.2000
Steiner V.,04.03.1998
Stojsavljevic M.,11.05.1996
Stosur S. ,30.03.1984
Szavay A. ,29.11.1988
Wongteanchai Vara.,06.01.1992
Stusek J.,08.05.1998
Vrancken Peeters A.,04.04.1995
Sutjiadi A.,28.04.1996
Babel O.,16.07.1997
Kamenskaya V.,02.01.1997
Lakhani I.,21.04.1999
Orlik A.,06.03.1997
Talaba G.,11.06.2003
Tananta L.,07.06.1989
Tang H.C.,18.03.1997
Taylor G.,18.10.1998
Ivanov V.,09.02.1997
Ristic M.,25.05.1998
Thorpe L.,24.09.1997
Tian F.,10.09.1999
Ianchuk O.,29.08.1998
Tkacheva M.,16.03.1999
Torres Murcia M.C.,23.09.1994
Hovde L.,12.12.2004
Turati B.,14.06.2003
Tvaroskova L.,25.04.1995
Rogers A.S.,07.04.1990
Urhobo A.,02.01.2003
Wallace I.,06.11.1999
Hui K.,25.06.1998
Vidmanova D.,11.01.2003
Pliskova Kri.,04.03.1989
Viratprasert S.,11.06.1997
Choi J.H.,18.09.1995
Soler-E. S.,22.09.1991
Volodko K.,17.11.2003
Gjorcheska L.,23.05.1997
Gleason Q.,22.12.2002
Hong H.H.,04.06.1997
Wagner S.,16.01.1997
Ma S.,26.08.1997
Wang Xiyu,26.03.2001
Washington M.,03.03.1998
Wickmayer Y. ,20.10.1989
Wolfe J.,05.08.1998
Kobori M.,18.06.1998
Yang V.,13.04.1999
Yang Y.,13.04.1999
Yang Zha.,02.11.1994
Yoo M.,27.05.1997
Yu E.,29.05.2000
Zander N.,07.05.2003
Tjandramulia O.,27.09.1992
Zhang Y.,27.02.1999
Christie F.,02.09.2000
Lu Jia Jing,05.09.1988
Zoric N.,22.04.1994
